placekey,location_name,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,phone_number,date_range_start,date_range_end,raw_visitor_count
zzw-222@63h-mg5-xdv,Soda Pharm,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,40.237135,-83.367124,123 N Main St,Marysville,OH,43040,16143545162,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,565
223-222@63h-mkq-zs5,Hilliard Community Center Playschool,Child Day Care Services,Child Day Care Services,624410,40.029026,-83.168504,3800 Veterans Memorial Dr,Hilliard,OH,43026,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,349
222-223@63v-6mb-qs5,Southern Hills Skilled Nursing & Rehab Center,Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),623110,41.373466,-81.839826,19530 Bagley Rd,Middleburg Heights,OH,44130,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,31
zzw-225@63f-m32-zxq,Rainbow King,Restaurants and Other Eating Places,Full-Service Restaurants,722511,35.985274,-78.533042,12520 Capital Blvd Ste 301,Wake Forest,NC,27587,19195548888,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,167
22c-222@63s-d53-f9f,Lastick Furniture & Floor Coverings,Furniture Stores,Furniture Stores,442110,40.245577,-75.647769,269 E High St,Pottstown,PA,19464,16103234000,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,165
226-222@63r-bq8-hyv,Center for Vein Restoration,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,39.348243,-76.473564,9110 Philadelphia Rd Ste 306,Rossville,MD,21237,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzw-222@8gg-t3v-vzz,Real Estate Investment Firm,Other Financial Investment Activities,Investment Advice,523930,34.787207,-82.321713,100 Locke Ln,Mauldin,SC,29662,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
224-222@63s-xx8-c89,Auto Glass Heroes,Automotive Repair and Maintenance,Automotive Glass Replacement Shops,811122,39.696118,-76.838789,4434 Alesia Lineboro Rd,Manchester,MD,21102,14102393006,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
222-222@63v-bbs-pgk,Foreign & Domestic Auto Serv,Automotive Repair and Maintenance,General Automotive Repair,811111,41.443827,-81.800933,4067 W 150th St,Cleveland,OH,44135,12162527989,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,82
224-222@646-3vr-brk,Olympic Flame Restaurant,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.695784,-78.876107,1309 N Ocean Blvd,Myrtle Beach,SC,29577,18434482756,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,281
222-223@8gf-dnx-5mk,Surface Warren Dgn PA,Offices of Dentists,Offices of Dentists,621210,35.084587,-80.731788,2435 Plantation Center Dr Ste 100,Charlotte,NC,28105,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
229-223@63s-ch5-8d9,Ali's Motoring,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,39.981415,-75.361494,18 S Sproul Rd,Broomall,PA,19008,14844206111,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzw-222@63v-6jw-sqz,Gotcha Covered of Avon,Personal and Household Goods Repair and Maintenance,Reupholstery and Furniture Repair,811420,41.418207,-81.99671,34301 Mills Rd,North Ridgeville,OH,44039,14407098249,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
225-225@8gf-dsw-33q,Hill Cynthia MD,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,35.24187,-80.859475,1801 Rozzelles Ferry Rd,Charlotte,NC,28208,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,233
zzy-224@8gg-3jq-gff,Innovated Learning Concepts,Other Schools and Instruction,Exam Preparation and Tutoring,611691,35.301933,-80.755022,8301 Universty Exc Prk Dr,Charlotte,NC,28262,17045483910,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,11
23v-222@63r-4b6-5xq,Federal House,Restaurants and Other Eating Places,Full-Service Restaurants,722511,38.978123,-76.487504,22 Market Space,Annapolis,MD,21401,14102682576,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,589
zzy-223@628-k2m-wkz,Totally Tan & Synergy Salon,Personal Care Services,Beauty Salons,812112,41.344631,-75.520665,400 N Main St,Moscow,PA,18444,15708426823,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,24
222-222@64h-tzj-p7q,Ruby Tuesday,Restaurants and Other Eating Places,Full-Service Restaurants,722511,37.117267,-76.464626,3150 Kiln Creek Pkwy,Yorktown,VA,23693,17578776310,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzw-223@63j-xbg-9s5,Goodale Pro Hardware,Building Material and Supplies Dealers,Hardware Stores,444130,39.9743,-83.030728,1015 Goodale Blvd,Grandview Heights,OH,43212,16145864062,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzy-222@63h-scv-h89,Carter Lumber,Building Material and Supplies Dealers,Other Building Material Dealers,444190,39.517068,-83.523969,4994 Us 22 NW,Washington Court House,OH,43160,17403356960,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,175
223-222@63r-4rz-kvf,Uber Bagels & Deli,Grocery Stores,Convenience Stores,445120,39.100512,-76.564304,147 Ritchie Hwy,Severna Park,MD,21146,14105447396,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,80
226-222@63f-7gp-35z,Mitchell's Salon on 7th,Personal Care Services,Beauty Salons,812112,37.109577,-79.290102,503 7th St,Altavista,VA,24517,14344265981,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
228-224@63s-t98-ffz,The Hair Garden,Personal Care Services,Beauty Salons,812112,39.369545,-77.414024,4969 Westview Dr Ste 105,Ballenger Creek,MD,21703,13014014660,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzw-222@8gd-2pp-xwk,Club Mezmerise 2,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),722410,33.904676,-79.483629,3224 Luke Cir,Johnsonville,SC,29555,18432892152,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,130
222-222@63d-crs-4gk,84 Lumber,Building Material and Supplies Dealers,Other Building Material Dealers,444190,39.639735,-78.859509,14700 National Hwy SW,Cumberland,MD,21502,13016898402,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,107
zzw-224@63r-7zc-7qz,Wallace Corporate Services,"Management, Scientific, and Technical Consulting Services",,5416,38.859254,-77.050739,1515 Richmond Hwy Apt 1510,Arlington,VA,22202,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzw-222@63d-64d-wrk,First Merit Bank,Depository Credit Intermediation,Commercial Banking,522110,40.614384,-80.059784,7500 Brooktree Rd,Wexford,PA,15090,17249344230,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
229-222@8gc-7gs-94v,Access Healthcare,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,32.783715,-79.942846,235 Calhoun St,Charleston,SC,29401,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,70
zzw-222@63r-bsg-wzf,Bacoli Delight,Restaurants and Other Eating Places,Full-Service Restaurants,722511,39.325579,-76.449202,151 Orville Rd,Essex,MD,21221,14102381922,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
226-225@63f-s4m-52k,Exxon Mobil,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,37.111843,-80.590182,2307 W Main St,Radford,VA,24141,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,356
227-223@63m-ts2-9fz,Dawson Bryant High School,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,38.50319,-82.645883,1 Hornet Ln,Coal Grove,OH,45638,17405326345,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,3788
zzw-224@63j-xc2-975,Roman Brenda DDS,Offices of Dentists,Offices of Dentists,621210,40.058427,-83.080015,5025 Arlington Centre Blvd Ste 220,Upper Arlington,OH,43220,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
222-226@8gh-75f-5xq,Hook Fish & Chicken,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.960526,-80.470297,4756 Broad St,Cherryvale,SC,29154,18034944665,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,20
224-222@63s-dt4-bzf,Utc Ras,Other Miscellaneous Manufacturing,,3399,39.910963,-75.320641,501 Highland Ave,Morton,PA,19070,16103281100,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,495
23d-222@63r-vdc-wp9,Tina Huynh Evergreen Foot & Ankle,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,38.829056,-77.184927,6928 Little River Tpke Ste B,Annandale,VA,22003,17034629339,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,38
zzw-222@8gf-g46-cyv,Mt Holly Pentecostal Holiness Church,Religious Organizations,Religious Organizations,813110,35.291903,-81.023347,406 Scott St,Mount Holly,NC,28120,17048278201,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
222-222@63s-ftt-6rk,Comprehensive Athletic Treatment Center,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,40.352916,-75.98267,1350 Broadcasting Rd,Spring Ridge,PA,19610,16106857200,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,212
zzw-222@646-2g9-nyv,Timmons Grove Missionary Baptist Church,Religious Organizations,Religious Organizations,813110,34.923941,-79.537053,27501 Marston Rd,Marston,NC,28363,19102760072,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzw-222@63g-bfc-mkz,University Cemetery and Columbarium,Death Care Services,Cemeteries and Crematories,812220,38.036081,-78.51265,Cemetery Rd,University of Virginia,VA,22904,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,15406
zzw-222@64h-w6j-ks5,Sentara Nursing Center Virginia Beach,Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),623110,36.835627,-76.103251,3750 Sentara Way,Virginia Beach,VA,23452,17037973800,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,458
zzw-225@8gg-3kd-2p9,Premier Grooming Lounge,Household Appliance Manufacturing,Major Household Appliance Manufacturing,335220,35.334796,-80.794499,3716 D W Wt Harris Blvd,Charlotte,NC,28269,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzw-222@63t-d2y-d9z,CrossCountry Mortgage LLC,Activities Related to Credit Intermediation,Mortgage and Nonmortgage Loan Brokers,522310,41.721361,-81.260278,420 W Prospect St,Painesville,OH,44077,14407445355,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,10
zzy-222@63r-6nc-n5z,Young Mens Baptist Cemetery historical,Death Care Services,Cemeteries and Crematories,812220,38.907974,-77.073544,Young Mens Baptist Cemetery Historical,Washington,DC,20009,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,51
